# From NMAP.org

@{Code=00020E; Vendor=ECI Telecom}
@{Code=00020F; Vendor=Aatr}
@{Code=000210; Vendor=Fenecom}
@{Code=000211; Vendor=Nature Worldwide}
@{Code=000212; Vendor=SierraCom}
@{Code=000213; Vendor=S.D.E.L}
@{Code=000214; Vendor=Dtvro}
@{Code=000215; Vendor=Cotas A/B}
@{Code=000216; Vendor=Cisco}
@{Code=000217; Vendor=Cisco}
@{Code=000218; Vendor=Advanced Scientific}
@{Code=000219; Vendor=Paralon}
@{Code=00021A; Vendor=Zuma}
@{Code=00021B; Vendor=Kollmorgen-Servotronix}
@{Code=00021C; Vendor=Network Elements}
@{Code=00021D; Vendor=Data General}
@{Code=00021E; Vendor=Simtel S.R.L}
@{Code=00021F; Vendor=Aculab}
@{Code=000220; Vendor=Canon Finetech}
@{Code=000221; Vendor=DSP Application}
@{Code=000222; Vendor=Chromisys}
@{Code=000223; Vendor=ClickTV}
@{Code=000224; Vendor=C-CoR}
@{Code=000225; Vendor=One Stop}
@{Code=000226; Vendor=XESystems}
@{Code=000227; Vendor=ESD}
@{Code=000228; Vendor=Necsom}
@{Code=000229; Vendor=Adtec}
@{Code=00022A; Vendor=Asound}
@{Code=00022B; Vendor=SAXA}
@{Code=00022C; Vendor=ABB Bomem}
@{Code=00022D; Vendor=Agere}
@{Code=00022E; Vendor=TEAC. R& D}
@{Code=00022F; Vendor=P-Cube}
@{Code=000230; Vendor=Intersoft}
@{Code=000231; Vendor=Ingersoll-Rand}
@{Code=000232; Vendor=Avision}
@{Code=000233; Vendor=Mantra}
@{Code=000234; Vendor=Imperial}
@{Code=000235; Vendor=Paragon}
@{Code=000236; Vendor=INIT}
@{Code=000237; Vendor=Cosmo}
@{Code=000238; Vendor=Serome}
@{Code=000239; Vendor=Visicom}
@{Code=00023A; Vendor=ZSK Stickmaschinen}
@{Code=00023B; Vendor=Ericsson}
@{Code=00023C; Vendor=Creative}
@{Code=00023D; Vendor=Cisco}
@{Code=00023E; Vendor=Selta Telematica S.p.a}
@{Code=00023F; Vendor=Compal}
@{Code=000240; Vendor=Seedek}
@{Code=000241; Vendor=Amer.com}
@{Code=000242; Vendor=Videoframe}
@{Code=000243; Vendor=Raysis}
@{Code=000244; Vendor=SURECOM}
@{Code=000245; Vendor=Lampus}
@{Code=000246; Vendor=All-Win}
@{Code=000247; Vendor=Great Dragon Information}
@{Code=000248; Vendor=Pilz}
@{Code=000249; Vendor=Aviv Infocom}
@{Code=00024A; Vendor=Cisco}
@{Code=00024B; Vendor=Cisco}
@{Code=00024C; Vendor=SiByte}
@{Code=00024D; Vendor=Mannesman Dematic Colby}
@{Code=00024E; Vendor=Datacard Group}
@{Code=00024F; Vendor=IPM Datacom S.R.L}
@{Code=000250; Vendor=Geyser}
@{Code=000251; Vendor=Soma}
@{Code=000252; Vendor=Carrier}
@{Code=000253; Vendor=Televideo}
@{Code=000254; Vendor=WorldGate}
@{Code=000255; Vendor=IBM}
@{Code=000256; Vendor=Alpha Processor}
@{Code=000257; Vendor=Microcom}
@{Code=000258; Vendor=Flying Packets}
@{Code=000259; Vendor=Tsann Kuen China IT Group}
@{Code=00025A; Vendor=Catena}
@{Code=00025B; Vendor=Cambridge Silicon Radio}
@{Code=00025C; Vendor=SCI Systems}
@{Code=00025D; Vendor=Calix}
@{Code=00025E; Vendor=High}
@{Code=00025F; Vendor=Nortel}
@{Code=000260; Vendor=Accordion}
@{Code=000261; Vendor=Tilgin}
@{Code=000262; Vendor=Soyo Group Soyo Com}
@{Code=000263; Vendor=UPS Manufacturing SRL}
@{Code=000264; Vendor=AudioRamp.com}
@{Code=000265; Vendor=Virditech}
@{Code=000266; Vendor=Thermalogic}
@{Code=000267; Vendor=Node Runner}
@{Code=000268; Vendor=Harris Government}
@{Code=000269; Vendor=Nadatel}
@{Code=00026A; Vendor=Cocess Telecom}
@{Code=00026B; Vendor=BCM}
@{Code=00026C; Vendor=Philips CFT}
@{Code=00026D; Vendor=Adept Telecom}
@{Code=00026E; Vendor=NeGeN Access}
@{Code=00026F; Vendor=Senao}
@{Code=000270; Vendor=Crewave}
@{Code=000271; Vendor=Zhone}
@{Code=000272; Vendor=CC&C}
@{Code=000273; Vendor=Coriolis}
@{Code=000274; Vendor=Tommy}
@{Code=000275; Vendor=SMART}
@{Code=000276; Vendor=Primax}
@{Code=000277; Vendor=Cash Systemes Industrie}
@{Code=000278; Vendor=Samsung}
@{Code=000279; Vendor=Control Applications}
@{Code=00027A; Vendor=IOI}
@{Code=00027B; Vendor=Amplify Net}
@{Code=00027C; Vendor=Trilithic}
@{Code=00027D; Vendor=Cisco}
@{Code=00027E; Vendor=Cisco}
@{Code=00027F; Vendor=ask-technologies.com}
@{Code=000280; Vendor=Mu Net}
@{Code=000281; Vendor=Madge}
@{Code=000282; Vendor=ViaClix}
@{Code=000283; Vendor=Spectrum Controls}
@{Code=000284; Vendor=UK Grid}
@{Code=000285; Vendor=Riverstone}
@{Code=000286; Vendor=Occam}
@{Code=000287; Vendor=Adapcom}
@{Code=000288; Vendor=Global Village}
@{Code=000289; Vendor=DNE}
@{Code=00028A; Vendor=Ambit Microsystems}
@{Code=00028B; Vendor=VDSL}
@{Code=00028C; Vendor=Micrel-Synergy Semiconductor}
@{Code=00028D; Vendor=Movita}
@{Code=00028E; Vendor=Rapid 5}
@{Code=00028F; Vendor=Globetek}
@{Code=000290; Vendor=Woorigisool}
@{Code=000291; Vendor=Open Network}
@{Code=000292; Vendor=Logic Innovations}
